"","Ref_Date","GEO","Vector","Coordinate","Value"
"1","2018/01","Canada","v1",1,36963854
"2","2018/01","Newfoundland and Labrador","v2",2,527613
"3","2018/01","Prince Edward Island","v8",3,152768
"4","2018/01","Nova Scotia","v9",4,957470
"5","2018/01","New Brunswick","v10",5,760744
"6","2018/01","Quebec","v11",6,8439925
"7","2018/01","Ontario","v12",7,14318750
"8","2018/01","Manitoba","v13",8,1346993
"9","2018/01","Saskatchewan","v14",9,1169752
"10","2018/01","Alberta","v15",10,4318772
"11","2018/01","British Columbia","v3",11,4849442
"12","2018/01","Yukon","v4",12,38825
"13","2018/01","Northwest Territories","v6",14,44597
"14","2018/01","Nunavut","v7",15,38203
